B,P,C,X,N,Time
5,1,1,0,1,10.344885
5,1,5,0,1,10.335204
5,5,1,0,1,2.095092
5,5,5,0,1,2.094700
10,1,1,0,1,10.340662
10,1,5,0,1,10.339422
10,1,10,0,1,10.348841
10,5,1,0,1,2.091392
10,5,5,0,1,2.092415
10,5,10,0,1,2.093344
10,10,1,0,1,1.071337
10,10,5,0,1,1.071653
10,10,10,0,1,1.070400
5,1,1,200,1,10.305303
5,1,5,200,1,10.320726
5,5,1,200,1,10.057048
5,5,5,200,1,2.091152
10,1,1,200,1,10.344927
10,1,5,200,1,10.258487
10,1,10,200,1,10.251937
10,5,1,200,1,10.051970
10,5,5,200,1,2.076155
10,5,10,200,1,2.075853
10,10,1,200,1,10.053488
10,10,5,200,1,2.041285
10,10,10,200,1,1.062803
5,1,1,400,1,20.048794
5,1,5,400,1,10.257448
5,5,1,400,1,20.050925
5,5,5,400,1,4.032961
10,1,1,400,1,20.051972
10,1,5,400,1,10.276253
10,1,10,400,1,10.268257
10,5,1,400,1,20.051205
10,5,5,400,1,4.032103
10,5,10,400,1,2.076337
10,10,1,400,1,20.051853
10,10,5,400,1,4.035736
10,10,10,400,1,2.033031
